(
(flight VEH.Air)
(uss VEH.Water)
(st. LOC.Address)
(st LOC.Address)
(street LOC.Address)
(ave. LOC.Address)
(ave LOC.Address)
(avenue LOC.Address)
(blvd. LOC.Address)
(blvd LOC.Address)
(boulevard LOC.Address)
(dr. LOC.Address)
(drive LOC.Address)
(w. LOC.Address)
(e. LOC.Address)
(beach LOC.Land-Region-Natural)
(cave LOC.Land-Region-Natural)
(hill LOC.Land-Region-Natural)
(island LOC.Land-Region-Natural)
(mountain LOC.Land-Region-Natural)
(mt. LOC.Land-Region-Natural)
(valley LOC.Land-Region-Natural)
(pit LOC.Land-Region-Natural)
(delta LOC.Land-Region-Natural)
(plateau LOC.Land-Region-Natural)
(seabed LOC.Land-Region-Natural)
(volcano LOC.Land-Region-Natural)
(woods LOC.Land-Region-Natural)
(yard LOC.Land-Region-Natural)
(hemisphere LOC.Region-International)
(west LOC.Region-General)
(western LOC.Region-General)
(eastern LOC.Region-General)
(east LOC.Region-General)
(northern LOC.Region-General)
(north LOC.Region-General)
(southern LOC.Region-General)
(south LOC.Region-General)
(sea LOC.Water-Body)
(river LOC.Water-Body)
(harbor LOC.Water-Body)
(sound LOC.Water-Body)
(gulf LOC.Water-Body)
(canal LOC.Water-Body)
(lake LOC.Water-Body)
(ocean LOC.Water-Body)
(waters LOC.Water-Body)
(water LOC.Water-Body)
(continent GPE.Continent)
(county GPE.County-or-District)
(district GPE.County-or-District)
(republic GPE.Nation)
(state GPE.State-or-Province)
(province GPE.State-or-Province)
(city GPE.Population-Center)
(settlement GPE.Population-Center)
(town GPE.Population-Center)
(township GPE.Population-Center)
(village GPE.Population-Center)
(college ORG.Educational)
(school ORG.Educational)
(university ORG.Educational)
(academy ORG.Educational)
(administration ORG.Government)
(office ORG.Government)
(agency ORG.Government)
(department ORG.Government)
(ministry ORG.Government)
(house ORG.Government)
(army ORG.Government)
(navy ORG.Government)
(marines ORG.Government)
(marine ORG.Government)
(cabinet ORG.Government)
(commission ORG.Government)
(committee ORG.Government)
(court ORG.Government)
(dictatorship ORG.Government)
(force ORG.Government)
(forces ORG.Government)
(government ORG.Government)
(judiciary ORG.Government)
(intelligence ORG.Government)
(legislature ORG.Government)
(military ORG.Government)
(parliament ORG.Government)
(police ORG.Government)
(regime ORG.Government)
(troops ORG.Government)
(customs ORG.Government)
(division ORG.Government)
(archdiocese ORG.Religious)
(campaign ORG.Non-Governmental)
(church ORG.Religious)
(club ORG.Non-Governmental)
(democrats ORG.Non-Governmental)
(group ORG.Non-Governmental)
(hospital ORG.Medical-Science)
(movement ORG.Non-Governmental)
(party ORG.Non-Governmental)
(republicans ORG.Non-Governmental)
(temple ORG.Religious)
(union ORG.Non-Governmental)
(shahab WEA.Missile)
(scud WEA.Missile)
(nodong WEA.Missile)
(abm WEA.Missile)
(gas WEA.Chemical)
(sarin WEA.Chemical)
(store FAC.Building-Grounds)
(cavalry ORG.Government)
(squadron ORG.Government)
(regiment ORG.Government)
(unit ORG.Government)
(airborne ORG.Government)
(battalion ORG.Government)
(airport FAC.Airport)
(airbase FAC.Airport)
(airfield FAC.Airport)
(newspaper ORG.Media)
(qaeda ORG.Jihadist)
(qaida ORG.Jihadist)
)
